Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];
459154;-13.333374;24.500000;0.021667;3.135417;95;

459297;-8.000000;24.500000;0.021667;3.135417;95;

459435;-4.000000;24.500000;0.021667;3.135000;92;

459576;-4.000000;24.500000;0.021667;3.135417;95;

459715;-13.333374;24.500000;0.021667;3.135417;96;

459856;-4.000000;24.500000;0.021667;3.135417;94;

459996;-4.000000;24.500000;0.021667;3.135417;92;

460135;-4.000000;24.500000;0.021667;3.135417;93;

460276;-2.666626;24.500000;0.021667;3.135417;94;

460416;-1.333374;24.500000;0.021667;3.135417;96;

460556;-1.333374;24.500000;0.021667;3.135417;95;

460694;-5.333374;24.500000;0.021667;3.135417;93;

460837;-8.000000;24.500000;0.021667;3.135417;94;

460984;-5.333374;24.500000;3.135417;3.135417;91;

461135;-1.333374;24.500000;0.021667;3.135417;95;

461268;-5.333374;24.500000;0.021667;3.135417;95;

461404;-8.000000;24.500000;0.021667;3.135417;96;

461544;-8.000000;24.500000;0.021667;3.135417;94;

461687;-10.666626;24.500000;0.021667;3.135417;94;

461833;-5.333374;24.500000;0.021667;3.135417;95;

461976;-13.333374;24.500000;0.021667;3.135417;94;

462116;-16.000000;24.500000;0.021667;3.135417;92;

462255;-20.000000;24.500000;0.022083;3.135417;95;

462396;-21.333374;24.500000;0.021667;3.135417;94;

462533;-22.666626;24.500000;0.021667;3.135000;97;

462677;-25.333374;24.500000;0.021667;3.135417;95;

462826;-36.000000;24.500000;0.021667;3.135417;95;

462963;-37.333374;24.500000;0.021667;3.135417;92;

463107;-38.666626;24.500000;0.021667;3.135000;98;

463244;-50.666626;24.500000;0.021667;3.135417;95;

463388;-50.666626;24.500000;0.021667;3.135417;94;

463536;-53.333374;24.500000;0.022083;3.135417;94;

463674;-57.333374;24.500000;0.021667;3.135417;98;

463818;-53.333374;24.500000;0.021667;3.135417;94;

463965;-50.666626;24.500000;0.021667;3.135417;94;

464111;-50.666626;24.500000;0.021667;3.135417;94;

464263;-45.333374;24.500000;0.021667;3.135417;93;

464406;-53.333374;24.500000;0.021667;3.135417;94;

464542;-34.666626;24.500000;0.021667;3.135417;93;

464686;-34.666626;24.500000;0.021250;3.135417;93;

464822;-37.333374;24.500000;0.021667;3.135417;94;

464970;-25.333374;24.500000;0.022083;3.135417;91;

465122;-22.666626;24.500000;0.021667;3.135417;91;

465266;-22.666626;24.500000;0.021667;3.135000;96;

465406;-22.666626;24.500000;0.022083;3.135417;93;

465544;-21.333374;24.500000;0.021667;3.135417;96;

465686;-17.333374;24.500000;0.021667;3.135417;96;

465823;-22.666626;24.500000;0.021667;3.135000;95;

465968;-30.666626;24.500000;0.021667;3.135000;96;

466114;-22.666626;24.500000;0.021667;3.134583;93;

466256;-17.333374;24.500000;0.021250;3.134583;96;

466396;-21.333374;24.500000;0.021667;3.134583;95;

466534;-22.666626;24.500000;0.021667;3.133333;96;

466677;-17.333374;24.500000;0.021667;3.131250;94;

466823;-17.333374;24.500000;0.021667;3.130000;94;

466966;-17.333374;24.500000;0.021667;3.130000;97;

467104;-2.666626;24.500000;0.021667;3.130417;95;

467246;-1.333374;24.500000;0.021667;3.130000;95;

